Data, H, |I|, Out_Acc, In_Acc, Sol_Time, MIP_Gap, Obj_Val, Obj_Bound, Model, Lambda, Calibration_Time, Rand_State, Time_Limit, Tuning_Used, Num_CB, Num_Cuts, Total_CB_Time, MIP_Node_Time, MIP_Sol_Time, Max_Features, Single_Feature_Use, Regularization
balance_scale,2,468,0.624203822,0.706666667,2.190528154,0,328,328,BendersOCT,0,25.04442097,138,3600,TRUE,28,27,0.826865911,,,,,
balance_scale,2,468,0.649681529,0.706666667,2.89255619,0,324,324,BendersOCT,0,28.0116976,15,3600,TRUE,34,33,0.934531212,,,,,
balance_scale,2,468,0.694267516,0.688,5.480692148,0,317,317,BendersOCT,0,54.45295596,89,3600,TRUE,35,34,1.824840784,,,,,
balance_scale,2,468,0.643312102,0.690666667,4.74298811,0,325,325,BendersOCT,0,47.93238546,42,3600,TRUE,30,29,1.660958529,,,,,
balance_scale,2,468,0.668789809,0.685333333,4.885908127,0,321,321,BendersOCT,0,48.78604768,0,3600,TRUE,34,33,1.834313631,,,,,
breast_cancer,2,214,0.652777778,0.779069767,23.47337103,0,167,167,BendersOCT,0,214.4104796,138,3600,TRUE,28,27,1.878604174,,,,,
breast_cancer,2,214,0.597222222,0.825581395,15.08781409,0,173,173,BendersOCT,0,197.1135796,15,3600,TRUE,23,22,1.256108761,,,,,
breast_cancer,2,214,0.708333333,0.813953488,17.736408,0,166,166,BendersOCT,0,244.2683594,89,3600,TRUE,31,30,1.455101967,,,,,
breast_cancer,2,214,0.666666667,0.76744186,18.59712315,0,168,168,BendersOCT,0,221.0705897,42,3600,TRUE,30,29,1.565555573,,,,,
breast_cancer,2,214,0.666666667,0.779069767,23.26792502,0,168,168,BendersOCT,0,213.1507215,0,3600,TRUE,31,30,1.595279694,,,,,
car,2,1296,0.780092593,0.786885246,125.905391,0,1007,1007,BendersOCT,0,912.8742366,138,3600,TRUE,21,20,4.592568874,,,,,
car,2,1296,0.773148148,0.779170685,94.404948,0,1010,1010,BendersOCT,0,870.3851829,15,3600,TRUE,25,24,4.645770788,,,,,
car,2,1296,0.791666667,0.772420444,125.8625269,0,1002,1002,BendersOCT,0,1217.50737,89,3600,TRUE,22,21,4.914519787,,,,,
car,2,1296,0.75462963,0.781099325,54.61683893,0,1003,1003,BendersOCT,0,1289.350177,42,3600,TRUE,21,20,4.26513648,,,,,
car,2,1296,0.756944444,0.784956606,55.192276,0,1017,1017,BendersOCT,0,1013.935534,0,3600,TRUE,21,20,4.687150478,,,,,
hayes_roth,2,120,0.525,0.635416667,1.231208086,0,79,79,BendersOCT,0,12.75623323,138,3600,TRUE,20,19,0.418392658,,,,,
hayes_roth,2,120,0.6,0.59375,1.235077858,0,77,77,BendersOCT,0,14.12773792,15,3600,TRUE,23,22,0.442776442,,,,,
hayes_roth,2,120,0.55,0.625,1.220132828,0,78,78,BendersOCT,0,14.0692517,89,3600,TRUE,23,22,0.409165621,,,,,
hayes_roth,2,120,0.475,0.65625,1.220754147,0,81,81,BendersOCT,0,12.61383005,42,3600,TRUE,23,22,0.434245586,,,,,
hayes_roth,2,120,0.525,0.666666667,1.19607687,0,79,79,BendersOCT,0,13.86817906,0,3600,TRUE,22,21,0.386003256,,,,,
house_votes_84,2,326,0.963302752,0.961685824,34.04685116,0,311,311,BendersOCT,0,305.8684245,138,3600,TRUE,28,27,1.884350061,,,,,
house_votes_84,2,326,0.95412844,0.969348659,17.95527911,6.24E-05,314,314.0196078,BendersOCT,0,232.6918147,15,3600,TRUE,27,26,1.581512213,,,,,
house_votes_84,2,326,0.95412844,0.965517241,21.67421484,0,314,314,BendersOCT,0,270.1994284,89,3600,TRUE,24,23,1.640823841,,,,,
house_votes_84,2,326,0.963302752,0.969348659,30.91678596,0,313,313,BendersOCT,0,266.9086594,42,3600,TRUE,24,23,1.881952524,,,,,
house_votes_84,2,326,0.95412844,0.965517241,26.35874987,0,313,313,BendersOCT,0,245.0964451,0,3600,TRUE,25,24,1.920312166,,,,,
iris,2,112,0.947368421,0.955555556,1.045253038,0,107,107,BendersOCT,0,12.30695228,138,3600,TRUE,18,17,0.482863903,,,,,
iris,2,112,0.947368421,0.955555556,1.182844162,0,107,107,BendersOCT,0,10.19501937,15,3600,TRUE,14,13,0.429616451,,,,,
iris,2,112,0.947368421,0.955555556,0.843522072,0,108,108,BendersOCT,0,9.924578607,89,3600,TRUE,17,16,0.449043989,,,,,
iris,2,112,1,0.955555556,1.243714094,0,106,106,BendersOCT,0,11.84997769,42,3600,TRUE,16,14,0.446693897,,,,,
iris,2,112,0.868421053,0.966666667,0.991514921,0,108,108,BendersOCT,0,9.829170618,0,3600,TRUE,17,16,0.523607969,,,,,
monk1,2,93,0.903225806,0.8,1.245620012,0,74,74,BendersOCT,0,15.99586305,138,3600,TRUE,24,23,0.320572138,,,,,
monk1,2,93,0.774193548,0.84,0.898911953,0,78,78,BendersOCT,0,12.08037781,15,3600,TRUE,21,20,0.294501066,,,,,
monk1,2,93,0.806451613,0.813333333,1.061189175,0,75,75,BendersOCT,0,16.6677676,89,3600,TRUE,25,24,0.291030645,,,,,
monk1,2,93,0.838709677,0.826666667,1.074661016,0,76,76,BendersOCT,0,14.73667088,42,3600,TRUE,23,22,0.33823061,,,,,
monk1,2,93,0.741935484,0.8,0.952655077,0,77,77,BendersOCT,0,11.55584214,0,3600,TRUE,21,20,0.292459965,,,,,
monk2,2,126,0.651162791,0.683168317,10.34412193,0,23.2,23.2,BendersOCT,0.7,86.63979804,138,3600,TRUE,39,38,0.683290005,,,,,
monk2,2,126,0.697674419,0.683168317,9.247179985,0,82,82,BendersOCT,0,99.96081799,15,3600,TRUE,41,40,0.624572277,,,,,
