Data,H,|I|,Out-Acc,In-Acc,Overfit,Out-Acc_OG,In-Acc_OG,Overfit_OG,ObjVal,Num-Branch,Sol-Num,Priority-type,Sol-Time,Model,# CB,User Cuts,Cuts/CB,CB-Time,INT-CB-time,FRAC-CB-TIME,CB-Eps,Time Limit,Rand. State
ion,5,263,0.729251559,0.756712082,-0.027460523,0.818181818,0.992395437,-0.174213619,2,17,1,data,3600.492751,CUT_w-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.791907339,0.795903934,-0.003996595,0.852272727,0.984790875,-0.132518147,2,16,2,data,3600.492751,CUT_w-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.783115419,0.817304498,-0.034189079,0.863636364,0.977186312,-0.113549948,2,16,3,data,3600.492751,CUT_w-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.762251975,0.755076552,0.007175423,0.829545455,0.965779468,-0.136234013,2,16,4,data,3600.492751,CUT_w-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.781562644,0.753964068,0.027598576,0.840909091,0.961977186,-0.121068095,2,16,5,data,3600.492751,CUT_w-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.814724277,0.800746831,0.013977446,0.875,0.950570342,-0.075570342,2,8,6,data,3600.492751,CUT_w-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.799115997,0.839083958,-0.03996796,0.886363636,0.946768061,-0.060404424,2,7,7,data,3600.492751,CUT_w-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.759395955,0.761765794,-0.002369839,0.840909091,0.874524715,-0.033615624,2,2,8,data,3600.492751,CUT_w-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.765533111,0.744901344,0.020631767,0.818181818,0.863117871,-0.044936053,2,2,9,data,3600.492751,CUT_w-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.521994679,0.505164654,0.016830025,0.590909091,0.486692015,0.104217076,2,22,10,data,3600.492751,CUT_w-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.818460481,0.814427989,0.004032493,0.886363636,0.950570342,-0.064206706,13,5,1,equal,3600.434356,CUT_w-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.797870523,0.839113878,-0.041243355,0.886363636,0.950570342,-0.064206706,13,7,2,equal,3600.434356,CUT_w-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.79947523,0.804023391,-0.004548161,0.886363636,0.950570342,-0.064206706,13,8,3,equal,3600.434356,CUT_w-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.776824396,0.799150966,-0.02232657,0.852272727,0.939163498,-0.086890771,13,6,4,equal,3600.434356,CUT_w-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.803136761,0.820281439,-0.017144678,0.875,0.931558935,-0.056558935,13,6,5,equal,3600.434356,CUT_w-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.819777004,0.833792991,-0.014015987,0.897727273,0.904942966,-0.007215693,13,6,6,equal,3600.434356,CUT_w-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.767762749,0.760122816,0.007639933,0.829545455,0.878326996,-0.048781542,13,2,7,equal,3600.434356,CUT_w-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.782729783,0.807849143,-0.02511936,0.863636364,0.874524715,-0.010888351,13,2,8,equal,3600.434356,CUT_w-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.779925245,0.745181274,0.034743971,0.829545455,0.840304183,-0.010758728,13,1,9,equal,3600.434356,CUT_w-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.698035781,0.699671883,-0.001636103,0.772727273,0.844106464,-0.071379191,13,6,10,equal,3600.434356,CUT_w-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.288847569,0.314168124,-0.025320555,0.375,0.353612167,0.021387833,263,0,1,branching,84.30570507,CUT_w-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.411295425,0.413418203,-0.002122778,0.465909091,0.36121673,0.104692361,263,22,2,branching,84.30570507,CUT_w-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.746457394,0.763920016,-0.017462623,0.829545455,0.988593156,-0.159047701,3,17,1,data,3600.38383,CUT-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.781127055,0.762239939,0.018887117,0.829545455,0.984790875,-0.15524542,3,17,2,data,3600.38383,CUT-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.797252091,0.796567981,0.000684109,0.863636364,0.980988593,-0.11735223,3,14,3,data,3600.38383,CUT-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.809279986,0.816526986,-0.007247001,0.875,0.946768061,-0.071768061,3,8,4,data,3600.38383,CUT-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.812175575,0.79150283,0.020672745,0.875,0.920152091,-0.045152091,3,8,5,data,3600.38383,CUT-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.809501967,0.816088095,-0.006586128,0.875,0.893536122,-0.018536122,3,6,6,data,3600.38383,CUT-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.828677359,0.81470182,0.01397554,0.897727273,0.878326996,0.019400277,3,2,7,data,3600.38383,CUT-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.759330491,0.762173173,-0.002842682,0.840909091,0.863117871,-0.02220878,3,2,8,data,3600.38383,CUT-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.506133973,0.543974437,-0.037840464,0.590909091,0.486692015,0.104217076,3,22,9,data,3600.38383,CUT-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.40689063,0.385933611,0.020957019,0.465909091,0.36121673,0.104692361,3,22,10,data,3600.38383,CUT-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.798664259,0.793132132,0.005532127,0.875,0.980988593,-0.105988593,5,10,1,equal,3600.526209,CUT-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.839776671,0.841906906,-0.002130235,0.909090909,0.97338403,-0.064293121,5,9,2,equal,3600.526209,CUT-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.821355338,0.847501847,-0.026146509,0.909090909,0.97338403,-0.064293121,5,10,3,equal,3600.526209,CUT-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.856582587,0.822832307,0.03375028,0.909090909,0.97338403,-0.064293121,5,11,4,equal,3600.526209,CUT-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.799653361,0.800029982,-0.000376621,0.852272727,0.969581749,-0.117309022,5,13,5,equal,3600.526209,CUT-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.660849663,0.691959524,-0.031109861,0.75,0.961977186,-0.211977186,5,13,6,equal,3600.526209,CUT-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.692051703,0.68780562,0.004246082,0.772727273,0.954372624,-0.181645351,5,13,7,equal,3600.526209,CUT-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.660437464,0.669090089,-0.008652625,0.715909091,0.885931559,-0.170022468,5,5,8,equal,3600.526209,CUT-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.644624628,0.644389442,0.000235186,0.693181818,0.802281369,-0.109099551,5,2,9,equal,3600.526209,CUT-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.268846943,0.305345705,-0.036498763,0.352272727,0.326996198,0.02527653,5,11,10,equal,3600.526209,CUT-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.322293643,0.328984779,-0.006691136,0.375,0.353612167,0.021387833,263,0,1,branching,33.34169102,CUT-H,0,0,0,0,0,0,0,3600,15
ion,5,263,0.403355753,0.388816054,0.014539699,0.465909091,0.36121673,0.104692361,263,22,2,branching,33.34169102,CUT-H,0,0,0,0,0,0,0,3600,15
blood,5,560,0.636873114,0.669042585,-0.032169471,0.721925134,0.848214286,-0.126289152,85,31,1,data,3600.138612,CUT-H,0,0,0,0,0,0,0,3600,15
blood,5,560,0.682912122,0.685670117,-0.002757995,0.732620321,0.846428571,-0.113808251,85,30,2,data,3600.138612,CUT-H,0,0,0,0,0,0,0,3600,15
blood,5,560,0.668148416,0.638743938,0.029404478,0.727272727,0.844642857,-0.11737013,85,30,3,data,3600.138612,CUT-H,0,0,0,0,0,0,0,3600,15
blood,5,560,0.683651366,0.686093677,-0.002442311,0.743315508,0.842857143,-0.099541635,85,30,4,data,3600.138612,CUT-H,0,0,0,0,0,0,0,3600,15
blood,5,560,,,,0.743315508,0.841071429,-0.097755921,85,30,5,data,3600.138612,CUT-H,0,0,0,0,0,0,0,3600,15
blood,5,560,,,,0.743315508,0.841071429,-0.097755921,85,30,6,data,3600.138612,CUT-H,0,0,0,0,0,0,0,3600,15
blood,5,560,,,,0.743315508,0.839285714,-0.095970206,85,28,7,data,3600.138612,CUT-H,0,0,0,0,0,0,0,3600,15
blood,5,560,,,,0.743315508,0.839285714,-0.095970206,85,28,8,data,3600.138612,CUT-H,0,0,0,0,0,0,0,3600,15
blood,5,560,,,,0.743315508,0.835714286,-0.092398778,85,27,9,data,3600.138612,CUT-H,0,0,0,0,0,0,0,3600,15
blood,5,560,,,,0.743315508,0.835714286,-0.092398778,85,27,10,data,3600.138612,CUT-H,0,0,0,0,0,0,0,3600,15
blood,5,560,,,,0.759358289,0.833928571,-0.074570283,93,11,1,equal,3600.237796,CUT-H,0,0,0,0,0,0,0,3600,15
blood,5,560,,,,0.759358289,0.830357143,-0.070998854,93,10,2,equal,3600.237796,CUT-H,0,0,0,0,0,0,0,3600,15
blood,5,560,,,,0.759358289,0.826785714,-0.067427426,93,9,3,equal,3600.237796,CUT-H,0,0,0,0,0,0,0,3600,15
