Data,H,|I|,Out-Acc,In-Acc,Overfit,ObjVal,Num-Branch,Sol-Num,Priority-type,Sol-Time,Model,# CB,User Cuts,Cuts/CB,CB-Time,INT-CB-time,FRAC-CB-TIME,CB-Eps,Time Limit,Rand. State
soy,5,35,1,1,0,0,3,1,data,6.800923824,SCF,0,0,0,0,0,0,0,3600,15
soy,5,35,1,1,0,0,11,2,data,6.800923824,SCF,0,0,0,0,0,0,0,3600,15
soy,5,35,0.75,0.857142857,-0.107142857,0,5,3,data,6.800923824,SCF,0,0,0,0,0,0,0,3600,15
soy,5,35,0.583333333,0.285714286,0.297619048,0,1,4,data,6.800923824,SCF,0,0,0,0,0,0,0,3600,15
soy,5,35,1,1,0,0,3,1,data,3.564769983,CUT_w,0,0,0,0,0,0,0,3600,15
soy,5,35,1,1,0,0,4,2,data,3.564769983,CUT_w,0,0,0,0,0,0,0,3600,15
soy,5,35,0,0.028571429,-0.028571429,0,1,3,data,3.564769983,CUT_w,0,0,0,0,0,0,0,3600,15
soy,5,35,0.583333333,0.285714286,0.297619048,0,1,4,data,3.564769983,CUT_w,0,0,0,0,0,0,0,3600,15
soy,5,35,1,1,0,0,3,1,data,7.546702147,MCF,0,0,0,0,0,0,0,3600,15
soy,5,35,0,0.028571429,-0.028571429,0,1,2,data,7.546702147,MCF,0,0,0,0,0,0,0,3600,15
soy,5,35,0.583333333,0.285714286,0.297619048,0,1,3,data,7.546702147,MCF,0,0,0,0,0,0,0,3600,15
soy,5,35,1,1,0,0,3,1,equal,3.899378061,SCF,0,0,0,0,0,0,0,3600,15
soy,5,35,0.083333333,0.257142857,-0.173809524,0,1,2,equal,3.899378061,SCF,0,0,0,0,0,0,0,3600,15
soy,5,35,0.166666667,0.228571429,-0.061904762,35,0,1,branching,0.237367868,SCF,0,0,0,0,0,0,0,3600,15
soy,5,35,0.583333333,0.285714286,0.297619048,35,1,2,branching,0.237367868,SCF,0,0,0,0,0,0,0,3600,15
soy,5,35,1,1,0,0,3,1,data,6.920015097,CUT,0,0,0,0,0,0,0,3600,15
soy,5,35,0.833333333,0.771428571,0.061904762,0,3,2,data,6.920015097,CUT,0,0,0,0,0,0,0,3600,15
soy,5,35,0,0.028571429,-0.028571429,0,1,3,data,6.920015097,CUT,0,0,0,0,0,0,0,3600,15
soy,5,35,0.583333333,0.285714286,0.297619048,0,1,4,data,6.920015097,CUT,0,0,0,0,0,0,0,3600,15
soy,5,35,1,1,0,0,3,1,equal,3.904290915,MCF,0,0,0,0,0,0,0,3600,15
soy,5,35,0.666666667,0.514285714,0.152380952,0,1,2,equal,3.904290915,MCF,0,0,0,0,0,0,0,3600,15
soy,5,35,0.083333333,0.257142857,-0.173809524,0,1,3,equal,3.904290915,MCF,0,0,0,0,0,0,0,3600,15
soy,5,35,0.166666667,0.228571429,-0.061904762,35,0,1,branching,0.378091812,MCF,0,0,0,0,0,0,0,3600,15
soy,5,35,0.583333333,0.285714286,0.297619048,35,1,2,branching,0.378091812,MCF,0,0,0,0,0,0,0,3600,15
soy,5,35,1,1,0,0,3,1,equal,7.180485964,CUT_w,0,0,0,0,0,0,0,3600,15
soy,5,35,1,0.971428571,0.028571429,0,3,2,equal,7.180485964,CUT_w,0,0,0,0,0,0,0,3600,15
soy,5,35,1,0.857142857,0.142857143,0,3,3,equal,7.180485964,CUT_w,0,0,0,0,0,0,0,3600,15
soy,5,35,0.916666667,0.8,0.116666667,0,4,4,equal,7.180485964,CUT_w,0,0,0,0,0,0,0,3600,15
soy,5,35,0.916666667,0.742857143,0.173809524,0,3,5,equal,7.180485964,CUT_w,0,0,0,0,0,0,0,3600,15
soy,5,35,0.666666667,0.514285714,0.152380952,0,1,6,equal,7.180485964,CUT_w,0,0,0,0,0,0,0,3600,15
soy,5,35,0.083333333,0.257142857,-0.173809524,0,1,7,equal,7.180485964,CUT_w,0,0,0,0,0,0,0,3600,15
soy,5,35,0.166666667,0.228571429,-0.061904762,35,0,1,branching,0.148576021,CUT_w,0,0,0,0,0,0,0,3600,15
soy,5,35,0.583333333,0.285714286,0.297619048,35,1,2,branching,0.148576021,CUT_w,0,0,0,0,0,0,0,3600,15
soy,5,35,1,1,0,0,3,1,equal,4.597573996,CUT,0,0,0,0,0,0,0,3600,15
soy,5,35,1,0.971428571,0.028571429,0,3,2,equal,4.597573996,CUT,0,0,0,0,0,0,0,3600,15
soy,5,35,0.75,0.857142857,-0.107142857,0,3,3,equal,4.597573996,CUT,0,0,0,0,0,0,0,3600,15
soy,5,35,0.083333333,0.257142857,-0.173809524,0,1,4,equal,4.597573996,CUT,0,0,0,0,0,0,0,3600,15
soy,5,35,0.083333333,0.257142857,-0.173809524,0,1,5,equal,4.597573996,CUT,0,0,0,0,0,0,0,3600,15
soy,5,35,0.166666667,0.228571429,-0.061904762,35,0,1,branching,0.117974997,CUT,0,0,0,0,0,0,0,3600,15
soy,5,35,0.583333333,0.285714286,0.297619048,35,1,2,branching,0.117974997,CUT,0,0,0,0,0,0,0,3600,15
iris,5,112,0.947368421,1,-0.052631579,0,6,1,data,202.6357861,SCF,0,0,0,0,0,0,0,3600,15
iris,5,112,0.921052632,1,-0.078947368,0,7,2,data,202.6357861,SCF,0,0,0,0,0,0,0,3600,15
iris,5,112,0.921052632,1,-0.078947368,0,8,3,data,202.6357861,SCF,0,0,0,0,0,0,0,3600,15
iris,5,112,0.921052632,1,-0.078947368,0,9,4,data,202.6357861,SCF,0,0,0,0,0,0,0,3600,15
iris,5,112,0.921052632,1,-0.078947368,0,10,5,data,202.6357861,SCF,0,0,0,0,0,0,0,3600,15
iris,5,112,0.921052632,1,-0.078947368,0,11,6,data,202.6357861,SCF,0,0,0,0,0,0,0,3600,15
iris,5,112,0.921052632,1,-0.078947368,0,13,7,data,202.6357861,SCF,0,0,0,0,0,0,0,3600,15
iris,5,112,0.921052632,1,-0.078947368,0,14,8,data,202.6357861,SCF,0,0,0,0,0,0,0,3600,15
iris,5,112,1,0.991071429,0.008928571,0,13,9,data,202.6357861,SCF,0,0,0,0,0,0,0,3600,15
iris,5,112,0.894736842,0.964285714,-0.069548872,0,6,10,data,202.6357861,SCF,0,0,0,0,0,0,0,3600,15
iris,5,112,0.894736842,0.964285714,-0.069548872,4,2,1,equal,92.665205,SCF,0,0,0,0,0,0,0,3600,15
iris,5,112,0.657894737,0.669642857,-0.01174812,4,2,2,equal,92.665205,SCF,0,0,0,0,0,0,0,3600,15
iris,5,112,0.710526316,0.714285714,-0.003759398,4,7,3,equal,92.665205,SCF,0,0,0,0,0,0,0,3600,15
iris,5,112,0.710526316,0.714285714,-0.003759398,4,7,4,equal,92.665205,SCF,0,0,0,0,0,0,0,3600,15
iris,5,112,0.710526316,0.714285714,-0.003759398,4,7,5,equal,92.665205,SCF,0,0,0,0,0,0,0,3600,15
iris,5,112,0.710526316,0.714285714,-0.003759398,4,7,6,equal,92.665205,SCF,0,0,0,0,0,0,0,3600,15
iris,5,112,0.421052632,0.366071429,0.054981203,4,5,7,equal,92.665205,SCF,0,0,0,0,0,0,0,3600,15
iris,5,112,0.342105263,0.330357143,0.01174812,112,0,1,branching,0.342227936,SCF,0,0,0,0,0,0,0,3600,15
iris,5,112,0.315789474,0.339285714,-0.023496241,112,0,2,branching,0.342227936,SCF,0,0,0,0,0,0,0,3600,15
iris,5,112,0.947368421,1,-0.052631579,0,6,1,data,290.1964118,MCF,0,0,0,0,0,0,0,3600,15
iris,5,112,0.973684211,1,-0.026315789,0,7,2,data,290.1964118,MCF,0,0,0,0,0,0,0,3600,15
iris,5,112,0.973684211,1,-0.026315789,0,8,3,data,290.1964118,MCF,0,0,0,0,0,0,0,3600,15
iris,5,112,0.973684211,1,-0.026315789,0,9,4,data,290.1964118,MCF,0,0,0,0,0,0,0,3600,15
iris,5,112,1,1,0,0,10,5,data,290.1964118,MCF,0,0,0,0,0,0,0,3600,15
iris,5,112,0.947368421,1,-0.052631579,0,11,6,data,290.1964118,MCF,0,0,0,0,0,0,0,3600,15
iris,5,112,0.947368421,1,-0.052631579,0,12,7,data,290.1964118,MCF,0,0,0,0,0,0,0,3600,15
iris,5,112,0.947368421,1,-0.052631579,0,17,8,data,290.1964118,MCF,0,0,0,0,0,0,0,3600,15
iris,5,112,0.973684211,0.991071429,-0.017387218,0,17,9,data,290.1964118,MCF,0,0,0,0,0,0,0,3600,15
iris,5,112,0.973684211,0.982142857,-0.008458647,0,12,10,data,290.1964118,MCF,0,0,0,0,0,0,0,3600,15
iris,5,112,0.894736842,0.964285714,-0.069548872,4,2,1,equal,260.3996921,MCF,0,0,0,0,0,0,0,3600,15
iris,5,112,0.657894737,0.669642857,-0.01174812,4,1,2,equal,260.3996921,MCF,0,0,0,0,0,0,0,3600,15
iris,5,112,0.657894737,0.669642857,-0.01174812,4,2,3,equal,260.3996921,MCF,0,0,0,0,0,0,0,3600,15
iris,5,112,0.421052632,0.366071429,0.054981203,4,5,4,equal,260.3996921,MCF,0,0,0,0,0,0,0,3600,15
iris,5,112,0.421052632,0.366071429,0.054981203,4,5,5,equal,260.3996921,MCF,0,0,0,0,0,0,0,3600,15
iris,5,112,0.342105263,0.330357143,0.01174812,112,0,1,branching,1.777670145,MCF,0,0,0,0,0,0,0,3600,15
iris,5,112,0.315789474,0.339285714,-0.023496241,112,0,2,branching,1.777670145,MCF,0,0,0,0,0,0,0,3600,15
iris,5,112,0.921052632,1,-0.078947368,0,6,1,data,373.888237,CUT,0,0,0,0,0,0,0,3600,15
iris,5,112,0.947368421,1,-0.052631579,0,7,2,data,373.888237,CUT,0,0,0,0,0,0,0,3600,15
iris,5,112,0.973684211,1,-0.026315789,0,8,3,data,373.888237,CUT,0,0,0,0,0,0,0,3600,15
iris,5,112,1,0.991071429,0.008928571,0,7,4,data,373.888237,CUT,0,0,0,0,0,0,0,3600,15
iris,5,112,0.973684211,0.982142857,-0.008458647,0,6,5,data,373.888237,CUT,0,0,0,0,0,0,0,3600,15
iris,5,112,0.973684211,0.955357143,0.018327068,0,2,6,data,373.888237,CUT,0,0,0,0,0,0,0,3600,15
iris,5,112,0.657894737,0.669642857,-0.01174812,0,2,7,data,373.888237,CUT,0,0,0,0,0,0,0,3600,15
iris,5,112,0.315789474,0.339285714,-0.023496241,0,0,8,data,373.888237,CUT,0,0,0,0,0,0,0,3600,15
iris,5,112,0.947368421,1,-0.052631579,0,6,1,data,380.5486581,CUT_w,0,0,0,0,0,0,0,3600,15
iris,5,112,0.947368421,1,-0.052631579,0,7,2,data,380.5486581,CUT_w,0,0,0,0,0,0,0,3600,15
iris,5,112,0.921052632,1,-0.078947368,0,8,3,data,380.5486581,CUT_w,0,0,0,0,0,0,0,3600,15
iris,5,112,0.921052632,1,-0.078947368,0,9,4,data,380.5486581,CUT_w,0,0,0,0,0,0,0,3600,15
iris,5,112,0.921052632,0.991071429,-0.070018797,0,6,5,data,380.5486581,CUT_w,0,0,0,0,0,0,0,3600,15
iris,5,112,0.973684211,0.982142857,-0.008458647,0,7,6,data,380.5486581,CUT_w,0,0,0,0,0,0,0,3600,15
iris,5,112,0.947368421,0.973214286,-0.025845865,0,6,7,data,380.5486581,CUT_w,0,0,0,0,0,0,0,3600,15
iris,5,112,0.868421053,0.964285714,-0.095864662,0,3,8,data,380.5486581,CUT_w,0,0,0,0,0,0,0,3600,15
iris,5,112,0.657894737,0.669642857,-0.01174812,0,2,9,data,380.5486581,CUT_w,0,0,0,0,0,0,0,3600,15
iris,5,112,0.315789474,0.339285714,-0.023496241,0,0,10,data,380.5486581,CUT_w,0,0,0,0,0,0,0,3600,15
iris,5,112,0.894736842,0.964285714,-0.069548872,4,2,1,equal,183.4265862,CUT,0,0,0,0,0,0,0,3600,15
iris,5,112,0.657894737,0.669642857,-0.01174812,4,2,2,equal,183.4265862,CUT,0,0,0,0,0,0,0,3600,15
iris,5,112,0.421052632,0.366071429,0.054981203,4,5,3,equal,183.4265862,CUT,0,0,0,0,0,0,0,3600,15
iris,5,112,0.342105263,0.330357143,0.01174812,112,0,1,branching,0.491024017,CUT,0,0,0,0,0,0,0,3600,15
iris,5,112,0.315789474,0.339285714,-0.023496241,112,0,2,branching,0.491024017,CUT,0,0,0,0,0,0,0,3600,15
iris,5,112,0.894736842,0.964285714,-0.069548872,4,2,1,equal,335.4091611,CUT_w,0,0,0,0,0,0,0,3600,15
